product,rate_mfn,rate_applied,tariff_lines,is_traded
870710 - Vehicles; bodies (including cabs) for the motor vehicles of heading no. 8703,23,23,4,Yes
"961210 - Ribbons; for typewriters and the like, inked or otherwise prepared, for giving impressions, whether or not on spools or in cartridges",23,23,2,Yes
"870892 - Vehicles; parts, silencers and exhaust pipes",22,22,7,Yes
"400811 - Rubber; vulcanised (other than hard rubber), in plates, sheets and strip of cellular rubber",22,22,3,Yes
"401610 - Rubber; vulcanised (other than hard rubber), moulded rubber mats and mats of non-rectangular shape made by cutting from the piece, of cellular rubber",22,22,3,Yes
"870829 - Vehicles; parts and accessories, of bodies, other than safety seat belts",22,22,15,Yes
"870790 - Vehicles; bodies (including cabs) for the motor vehicles of heading no. 8701, 8702, 8704 or 8705",21,21,7,Yes
854442 - Fitted with connectors,21,21,17,Yes
"870323 - Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1500cc but not exceeding 3000cc",21,21,36,Yes
"870324 - Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 3000cc",21,21,18,Yes
"870891 - Vehicles; parts, radiators",21,21,10,Yes
080719 - Other,21,21,1,No
